taxid	scientific_name	domain
11432		Viruses
11433		Viruses
11444		Viruses
11448		Viruses
11450		Viruses
11451		Viruses
11452		Viruses
11462		Viruses
11482		Viruses
11484		Viruses
11486		Viruses
11495		Viruses
11520		Viruses
11521		Viruses
11522		Viruses
11523		Viruses
11524		Viruses
11525		Viruses
11527		Viruses
11528		Viruses
11529		Viruses
11530		Viruses
11532		Viruses
11534		Viruses
11536		Viruses
11537		Viruses
11538		Viruses
11540		Viruses
11541		Viruses
11542		Viruses
11543		Viruses
11545		Viruses
11547		Viruses
11548		Viruses
11550		Viruses
11552		Viruses
11553		Viruses
11554		Viruses
11556		Viruses
11557		Viruses
11560		Viruses
11564		Viruses
11566		Viruses
11567		Viruses
11568		Viruses
11569		Viruses
11572		Viruses
11574		Viruses
11575		Viruses
11577		Viruses
11578		Viruses
11580		Viruses
11582		Viruses
11583		Viruses
11584		Viruses
11587		Viruses
11588		Viruses
11589		Viruses
11590		Viruses
11591		Viruses
11594		Viruses
11596		Viruses
11597		Viruses
11601		Viruses
11602		Viruses
11605		Viruses
11606		Viruses
11607		Viruses
11610		Viruses
11612		Viruses
11615		Viruses
11617		Viruses
11618		Viruses
11621		Viruses
11622		Viruses
11624		Viruses
11625		Viruses
11626		Viruses
11627		Viruses
11632		Viruses
11636		Viruses
11641		Viruses
11642		Viruses
11644		Viruses
11646		Viruses
11648		Viruses
11652		Viruses
11654		Viruses
11655		Viruses
11656		Viruses
11657		Viruses
11659		Viruses
11660		Viruses
11661		Viruses
11662		Viruses
11663		Viruses
11664		Viruses
11665		Viruses
11666		Viruses
11667		Viruses
11668		Viruses
11669		Viruses
11670		Viruses
11671		Viruses
11672		Viruses
11673		Viruses
11674		Viruses
11675		Viruses
11676		Viruses
11678		Viruses
11679		Viruses
11680		Viruses
11681		Viruses
11682		Viruses
11683		Viruses
11684		Viruses
11685		Viruses
11686		Viruses
11687		Viruses
11688		Viruses
11689		Viruses
11690		Viruses
11691		Viruses
11692		Viruses
11693		Viruses
11694		Viruses
11695		Viruses
11696		Viruses
11697		Viruses
11698		Viruses
11699		Viruses
11701		Viruses
11702		Viruses
11703		Viruses
11704		Viruses
11705		Viruses
11706		Viruses
11707		Viruses
11708		Viruses
11709		Viruses
11711		Viruses
11712		Viruses
11713		Viruses
11714		Viruses
11715		Viruses
11716		Viruses
11717		Viruses
11718		Viruses
11719		Viruses
11720		Viruses
11721		Viruses
11723		Viruses
11725		Viruses
11726		Viruses
11727		Viruses
11728		Viruses
11729		Viruses
11730		Viruses
11731		Viruses
11732		Viruses
11733		Viruses
11734		Viruses
11735		Viruses
11736		Viruses
11737		Viruses
11738		Viruses
11742		Viruses
11743		Viruses
11744		Viruses
11745		Viruses
11746		Viruses
11749		Viruses
11750		Viruses
11751		Viruses
11752		Viruses
11753		Viruses
11754		Viruses
11757		Viruses
11758		Viruses
11759		Viruses
11760		Viruses
11764		Viruses
11765		Viruses
11766		Viruses
11767		Viruses
11768		Viruses
11769		Viruses
11772		Viruses
11774		Viruses
11775		Viruses
11776		Viruses
11777		Viruses
11778		Viruses
11779		Viruses
11780		Viruses
11783		Viruses
11784		Viruses
11785		Viruses
11786		Viruses
11787		Viruses
11788		Viruses
11790		Viruses
11791		Viruses
11792		Viruses
11793		Viruses
11794		Viruses
11795		Viruses
11796		Viruses
11797		Viruses
11798		Viruses
11799		Viruses
11800		Viruses
11801		Viruses
11803		Viruses
11804		Viruses
11805		Viruses
11807		Viruses
11808		Viruses
11809		Viruses
11810		Viruses
11811		Viruses
11812		Viruses
11813		Viruses
11814		Viruses
11815		Viruses
11816		Viruses
11818		Viruses
11819		Viruses
11820		Viruses
11821		Viruses
11823		Viruses
11824		Viruses
11827		Viruses
11829		Viruses
11830		Viruses
11832		Viruses
11833		Viruses
11834		Viruses
11836		Viruses
11837		Viruses
11838		Viruses
11840		Viruses
11841		Viruses
11843		Viruses
11845		Viruses
11846		Viruses
11847		Viruses
11848		Viruses
11849		Viruses
11850		Viruses
11854		Viruses
11855		Viruses
11856		Viruses
11857		Viruses
11859		Viruses
11861		Viruses
11862		Viruses
11863		Viruses
11864		Viruses
11865		Viruses
11866		Viruses
11867		Viruses
11868		Viruses
11869		Viruses
11870		Viruses
11871		Viruses
11873		Viruses
11874		Viruses
11875		Viruses
11876		Viruses
11877		Viruses
11878		Viruses
11879		Viruses
11880		Viruses
